Year,Model,Total_Price,Price_per_month,Mileage,Transmission,Location,Highlight,URL
2019,Mazda CX-5 SKYACTIV-G GLS 2.0,"RM
          86,000",RM 942,"115,833 km",Automatic,"CARSOME Showroom Ipoh, Perak 14,609.1 km
          away",Compact SUV,https://www.carsome.my/buy-car/mazda/cx-5/2019-mazda-cx-5-skyactiv-g-gls-2.0/crfy400
2019,Perodua Aruz AV 1.5,"RM
          51,000",RM 550,"93,485 km",Automatic,"CARSOME Showroom Setia SPICE, Pulau Pinang 14,555.5 km
          away",Family Drive,https://www.carsome.my/buy-car/perodua/aruz/2019-perodua-aruz-av-1.5/c0qx400
2018,Proton Saga Standard 1.3,"RM
          24,800",RM 298,"75,611 km",Automatic,"CARSOME Showroom Setia SPICE, Pulau Pinang 14,555.5 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/saga/2018-proton-saga-standard-1.3/c0kv400
2018,Proton Persona Standard 1.6,"RM
          27,400",RM 329,"66,120 km",Automatic,"CARSOME Showroom Alor Setar, Kedah 14,468.6 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/persona/2018-proton-persona-standard-1.6/c2yw400
2018,Honda Civic TC VTEC Premium 1.5,"RM
          84,400","RM 1,008","124,218 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",Upgrade Daily Drive,https://www.carsome.my/buy-car/honda/civic/2018-honda-civic-tc-vtec-premium-1.5/cd5x400
2017,Perodua AXIA G 1.0,"RM
          27,900",RM 365,"71,117 km",Automatic,"CARSOME Showroom Melaka, Melaka 14,822.0 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2017-perodua-axia-g-1.0/c3zy400
2023,Perodua Alza AV 1.5,"RM
          72,800",RM 798,"19,323 km",Automatic,"CARSOME Showroom Setia SPICE, Pulau Pinang 14,555.5 km
          away",Family Drive,https://www.carsome.my/buy-car/perodua/alza/2023-perodua-alza-av-1.5/cg7y400
2019,Mazda CX-5 SKYACTIV-G High 2.5,"RM
          90,900",RM 982,"118,518 km",Automatic,"CARSOME Showroom Setia SPICE, Pulau Pinang 14,555.5 km
          away",Compact SUV,https://www.carsome.my/buy-car/mazda/cx-5/2019-mazda-cx-5-skyactiv-g-high-2.5/c5bx400
2021,Proton Saga Premium 1.3,"RM
          32,300",RM 354,"51,903 km",Automatic,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/saga/2021-proton-saga-premium-1.3/cuyw400
2019,Honda City V i-VTEC 1.5,"RM
          58,900",RM 641,"88,333 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",Daily Drive,https://www.carsome.my/buy-car/honda/city/2019-honda-city-v-i-vtec-1.5/ccjy400
2017,Perodua Bezza X Premium 1.3,"RM
          31,400",RM 419,"107,752 km",Automatic,"CARSOME Showroom Sitiawan, Perak 14,662.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/bezza/2017-perodua-bezza-x-premium-1.3/co6y400
2017,Perodua Alza EZ 1.5,"RM
          37,400",RM 499,"162,156 km",Automatic,"CARSOME Showroom Seremban Oakland, Negeri Sembilan 14,780.1 km
          away",Family Drive,https://www.carsome.my/buy-car/perodua/alza/2017-perodua-alza-ez-1.5/c8xx400
2015,Mercedes-Benz C200 Avantgarde 2.0,"RM
          81,800","RM 1,070","114,482 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",Luxury,https://www.carsome.my/buy-car/mercedes-benz/c200/2015-mercedes-benz-c200-avantgarde-2.0/c7cy400
2021,Toyota Vios G 1.5,"RM
          67,400",RM 739,"71,359 km",Automatic,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",Daily Drive,https://www.carsome.my/buy-car/toyota/vios/2021-toyota-vios-g-1.5/c4px400
2016,Perodua Bezza Advance Premium 1.3,"RM
          30,400",RM 413,"140,542 km",Automatic,"CARSOME Showroom Kuala Terengganu, Terengganu 14,461.7 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/bezza/2016-perodua-bezza-advance-premium-1.3/curv400
2017,Toyota Vios G 1.5,"RM
          50,400",RM 664,"96,422 km",Automatic,"CARSOME Showroom Ipoh, Perak 14,609.1 km
          away",Daily Drive,https://www.carsome.my/buy-car/toyota/vios/2017-toyota-vios-g-1.5/ccxw400
2019,Proton Exora Turbo Executive 1.6,"RM
          34,800",RM 381,"97,609 km",Automatic,"CARSOME Showroom Alor Setar, Kedah 14,468.6 km
          away",Family Drive,https://www.carsome.my/buy-car/proton/exora/2019-proton-exora-turbo-executive-1.6/cbox400
2020,Proton Saga Premium 1.3,"RM
          31,300",RM 343,"51,406 km",Automatic,"CARSOME Showroom Kempas, Johor 14,839.0 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/saga/2020-proton-saga-premium-1.3/cb4y400
2019,Kia Rio EX 1.4,"RM
          48,400",RM 530,"100,622 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",Daily Drive,https://www.carsome.my/buy-car/kia/rio/2019-kia-rio-ex-1.4/ckmw400
2021,Perodua Myvi AV 1.5,"RM
          48,900",RM 536,"47,037 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2021-perodua-myvi-av-1.5/cmbz400
2019,Perodua Myvi AV 1.5,"RM
          44,000",RM 482,"105,218 km",Automatic,"CARSOME Showroom Setia SPICE, Pulau Pinang 14,555.5 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2019-perodua-myvi-av-1.5/cprz400
2019,Proton X70 TGDI Executive 1.8,"RM
          51,900",RM 552,"105,450 km",Automatic,"CARSOME Showroom Alor Setar, Kedah 14,468.6 km
          away",Compact SUV,https://www.carsome.my/buy-car/proton/x70/2019-proton-x70-tgdi-executive-1.8/cttt400
2018,Perodua Myvi AV 1.5,"RM
          42,600",RM 511,"117,609 km",Automatic,"CARSOME Showroom Ipoh, Perak 14,609.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2018-perodua-myvi-av-1.5/c97y400
2023,Mitsubishi Triton VGT Dual Cab 2.4,"RM
          89,900",RM 985,"27,673 km",Automatic,"CARSOME Showroom Kuching, Sarawak 14,543.4 km
          away",Adventure,https://www.carsome.my/buy-car/mitsubishi/triton/2023-mitsubishi-triton-vgt-dual-cab-2.4/chbx400
2018,Perodua Alza Ez 1.5,"RM
          43,400",RM 515,"116,508 km",Automatic,"CARSOME Showroom Kuching, Sarawak 14,543.4 km
          away",Family Drive,https://www.carsome.my/buy-car/perodua/alza/2018-perodua-alza-ez-1.5/cqwx400
2018,Perodua AXIA G 1.0,"RM
          28,900",RM 336,"114,540 km",Automatic,"CARSOME Showroom Kuching, Sarawak 14,543.4 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2018-perodua-axia-g-1.0/c0az400
2016,Toyota Vios G 1.5,"RM
          48,400",RM 657,"151,164 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",Daily Drive,https://www.carsome.my/buy-car/toyota/vios/2016-toyota-vios-g-1.5/c3iy400
2017,Honda CR-V TC-P VTEC 1.5,"RM
          86,800","RM 1,158","82,920 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",Compact SUV,https://www.carsome.my/buy-car/honda/cr-v/2017-honda-cr-v-tc-p-vtec-1.5/c1f0500
2021,Perodua Myvi H 1.5,"RM
          45,800",RM 502,"75,547 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2021-perodua-myvi-h-1.5/c6jy400
2016,Proton Saga FLX Plus 1.3,"RM
          18,000",RM 244,"147,188 km",Automatic,"CARSOME Showroom Seremban Oakland, Negeri Sembilan 14,780.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/saga/2016-proton-saga-flx-plus-1.3/cxiv400
2020,Perodua Alza SE 1.5,"RM
          49,400",RM 527,"108,909 km",Automatic,"CARSOME Showroom Kuantan Avenue, Pahang 14,612.7 km
          away",Family Drive,https://www.carsome.my/buy-car/perodua/alza/2020-perodua-alza-se-1.5/clix400
2016,Mitsubishi ASX 2.0,"RM
          41,900",RM 569,"133,081 km",Automatic,"CARSOME Showroom Ipoh, Perak 14,609.1 km
          away",Compact SUV,https://www.carsome.my/buy-car/mitsubishi/asx/2016-mitsubishi-asx--2.0/ciav400
2019,Perodua AXIA GXtra 1.0,"RM
          31,000",RM 333,"92,324 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2019-perodua-axia-gxtra-1.0/cmpx400
2020,Perodua Myvi AV 1.5,"RM
          46,600",RM 502,"97,185 km",Automatic,"CARSOME Showroom AEON BiG Kepong, Kuala Lumpur 14,735.7 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2020-perodua-myvi-av-1.5/cu1x400
2011,Toyota Estima Aeras 2.4,"RM
          58,900","RM 1,045","134,851 km",Automatic,"CARSOME Showroom Kuantan Avenue, Pahang 14,612.7 km
          away",Family Drive,https://www.carsome.my/buy-car/toyota/estima/2011-toyota-estima-aeras-2.4/cinx400
2018,Perodua Myvi H 1.5,"RM
          40,400",RM 464,"86,880 km",Automatic,"CARSOME Showroom Johor Jaya, Johor 14,832.8 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2018-perodua-myvi-h-1.5/c8sw400
2015,Toyota Camry Hybrid 2.5,"RM
          53,400",RM 725,"165,521 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",Executive,https://www.carsome.my/buy-car/toyota/camry/2015-toyota-camry-hybrid-2.5/czfx400
2018,Honda Civic S i-VTEC 1.8,"RM
          71,500",RM 845,"131,336 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",Upgrade Daily Drive,https://www.carsome.my/buy-car/honda/civic/2018-honda-civic-s-i-vtec-1.8/c0yx400
2021,Proton Saga Standard 1.3,"RM
          29,300",RM 321,"70,357 km",Automatic,"CARSOME Showroom Kuala Terengganu, Terengganu 14,461.7 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/saga/2021-proton-saga-standard-1.3/cu0w400
2019,Perodua AXIA G 1.0,"RM
          29,900",RM 316,"62,091 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2019-perodua-axia-g-1.0/cpjy400
2023,Mercedes-Benz C200 Avantgarde 1.5,"RM
          215,000","RM 2,334","18,031 km",Automatic,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",Luxury,https://www.carsome.my/buy-car/mercedes-benz/c200/2023-mercedes-benz-c200-avantgarde-1.5/cmuq400
2017,Perodua Myvi Advance 1.5,"RM
          37,800",RM 482,"101,310 km",Automatic,"CARSOME Showroom Temerloh, Pahang 14,682.9 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2017-perodua-myvi-advance-1.5/c43y400
2018,Perodua Myvi AV 1.5,"RM
          43,900",RM 511,"84,787 km",Automatic,"CARSOME Showroom Kempas, Johor 14,839.0 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2018-perodua-myvi-av-1.5/cnuw400
2022,Proton Iriz Active 1.6,"RM
          44,400",RM 487,"52,357 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/iriz/2022-proton-iriz-active-1.6/cla0500
2019,Perodua Myvi AV 1.5,"RM
          44,400",RM 480,"106,698 km",Automatic,"CARSOME Showroom Melaka, Melaka 14,822.0 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2019-perodua-myvi-av-1.5/crax400
2016,Honda Civic TC VTEC Premium 1.5,"RM
          74,900","RM 1,000","114,029 km",Automatic,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",Upgrade Daily Drive,https://www.carsome.my/buy-car/honda/civic/2016-honda-civic-tc-vtec-premium-1.5/cfrx400
2020,Proton Saga Anniversary Edition 1.3,"RM
          32,000",RM 351,"36,381 km",Automatic,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/saga/2020-proton-saga-anniversary-edition-1.3/c59y400
2018,Perodua Alza Ez 1.5,"RM
          42,900",RM 510,"102,341 km",Automatic,"CARSOME Showroom Ipoh, Perak 14,609.1 km
          away",Family Drive,https://www.carsome.my/buy-car/perodua/alza/2018-perodua-alza-ez-1.5/cqxw400
2021,Proton Saga Standard 1.3,"RM
          29,300",RM 321,"31,524 km",Automatic,"CARSOME Showroom Kota Bharu, Kelantan 14,408.9 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/saga/2021-proton-saga-standard-1.3/ca8w400
2014,Honda Jazz E i-VTEC 1.5,"RM
          40,600",RM 551,"95,053 km",Automatic,"CARSOME Showroom Setia SPICE, Pulau Pinang 14,555.5 km
          away",Daily Drive,https://www.carsome.my/buy-car/honda/jazz/2014-honda-jazz-e-i-vtec-1.5/csny400
2019,Perodua Bezza X Premium 1.3,"RM
          34,900",RM 382,"96,890 km",Automatic,"CARSOME Showroom Seremban Oakland, Negeri Sembilan 14,780.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/bezza/2019-perodua-bezza-x-premium-1.3/cfxx400
2018,Proton Saga Standard 1.3,"RM
          24,800",RM 298,"113,596 km",Automatic,"CARSOME Showroom Sitiawan, Perak 14,662.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/saga/2018-proton-saga-standard-1.3/ck3y400
2022,Mercedes-Benz C200 Avantgarde 1.5,"RM
          195,000","RM 2,137","29,862 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",Luxury,https://www.carsome.my/buy-car/mercedes-benz/c200/2022-mercedes-benz-c200-avantgarde-1.5/cgft400
2017,Toyota Vios GX 1.5,"RM
          53,900",RM 691,"80,271 km",Automatic,"CARSOME Showroom Sitiawan, Perak 14,662.1 km
          away",Daily Drive,https://www.carsome.my/buy-car/toyota/vios/2017-toyota-vios-gx-1.5/coow400
2019,Honda CR-V i-VTEC 2.0,"RM
          83,000",RM 910,"104,081 km",Automatic,"CARSOME Showroom Chan Sow Lin, Kuala Lumpur 14,744.2 km
          away",Compact SUV,https://www.carsome.my/buy-car/honda/cr-v/2019-honda-cr-v-i-vtec-2.0/co7z400
2019,Proton X70 TGDI Executive 1.8,"RM
          51,900",RM 552,"112,854 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",Compact SUV,https://www.carsome.my/buy-car/proton/x70/2019-proton-x70-tgdi-executive-1.8/cl6x400
2015,BMW 330i M Sport 2.0,"RM
          97,000","RM 1,236","132,391 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",Luxury,https://www.carsome.my/buy-car/bmw/330i/2015-bmw-330i-m-sport-2.0/cm5z400
2015,Perodua Myvi X 1.3,"RM
          25,900",RM 352,"117,229 km",Automatic,"CARSOME Showroom Ipoh, Perak 14,609.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2015-perodua-myvi-x-1.3/ce3y400
2010,Honda Stream i-VTEC 1.8,"RM
          34,400",RM 697,"206,458 km",Automatic,"CARSOME Showroom Setia SPICE, Pulau Pinang 14,555.5 km
          away",Family Drive,https://www.carsome.my/buy-car/honda/stream/2010-honda-stream-i-vtec-1.8/cbwu400
2017,Honda Jazz V i-VTEC 1.5,"RM
          51,900",RM 692,"123,097 km",Automatic,"CARSOME Showroom Kuantan Avenue, Pahang 14,612.7 km
          away",Daily Drive,https://www.carsome.my/buy-car/honda/jazz/2017-honda-jazz-v-i-vtec-1.5/cx7y400
2019,Toyota C-HR 1.8,"RM
          89,000",RM 975,"109,980 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",Compact SUV,https://www.carsome.my/buy-car/toyota/c-hr/2019-toyota-c-hr--1.8/cjcz400
2020,Perodua Bezza G 1.0,"RM
          33,000",RM 362,"109,227 km",Manual,"CARSOME Showroom Kuching, Sarawak 14,543.4 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/bezza/2020-perodua-bezza-g-1.0/c9p1500
2018,Perodua Myvi AV 1.5,"RM
          43,400",RM 511,"111,021 km",Automatic,"CARSOME Showroom Kuching, Sarawak 14,543.4 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2018-perodua-myvi-av-1.5/cqkz400
2021,Perodua Ativa AV 1.0,"RM
          58,800",RM 644,"60,729 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",Compact SUV,https://www.carsome.my/buy-car/perodua/ativa/2021-perodua-ativa-av-1.0/ctnx400
2023,Mazda CX-30 SKYACTIV-G High+ 2.0,"RM
          118,400","RM 1,297","18,490 km",Automatic,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",Compact SUV,https://www.carsome.my/buy-car/mazda/cx-30/2023-mazda-cx-30-skyactiv-g-high--2.0/ct2z400
2021,Perodua Alza Advance 1.5,"RM
          56,900",RM 624,"12,857 km",Automatic,"CARSOME Showroom Ipoh, Perak 14,609.1 km
          away",Family Drive,https://www.carsome.my/buy-car/perodua/alza/2021-perodua-alza-advance-1.5/c2s0500
2015,Honda Jazz E i-VTEC 1.5,"RM
          42,000",RM 571,"129,311 km",Automatic,"CARSOME Showroom Johor Jaya, Johor 14,832.8 km
          away",Daily Drive,https://www.carsome.my/buy-car/honda/jazz/2015-honda-jazz-e-i-vtec-1.5/ci4x400
2018,Perodua Myvi AV 1.5,"RM
          42,600",RM 511,"133,349 km",Automatic,"CARSOME Showroom Melaka, Melaka 14,822.0 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2018-perodua-myvi-av-1.5/c70y400
2025,Toyota Vios G 1.5,"RM
          83,900",RM 919,"1,759 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",Daily Drive,https://www.carsome.my/buy-car/toyota/vios/2025-toyota-vios-g-1.5/cry0500
2023,Perodua Myvi H 1.5,"RM
          51,800",RM 568,"4,629 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2023-perodua-myvi-h-1.5/cuw1500
2018,Toyota Harrier Elegance 2.0,"RM
          109,800","RM 1,318","75,162 km",Automatic,"CARSOME Showroom Setia SPICE, Pulau Pinang 14,555.5 km
          away",Compact SUV,https://www.carsome.my/buy-car/toyota/harrier/2018-toyota-harrier-elegance-2.0/ce50500
2018,Honda City E i-VTEC 1.5,"RM
          52,400",RM 610,"96,419 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",Daily Drive,https://www.carsome.my/buy-car/honda/city/2018-honda-city-e-i-vtec-1.5/ch7z400
2019,Proton Persona Premium 1.6,"RM
          32,400",RM 355,"114,678 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/persona/2019-proton-persona-premium-1.6/c90y400
2019,Honda BR-V V i-VTEC 1.5,"RM
          53,000",RM 574,"91,761 km",Automatic,"CARSOME Showroom Chan Sow Lin, Kuala Lumpur 14,744.2 km
          away",Family Drive,https://www.carsome.my/buy-car/honda/br-v/2019-honda-br-v-v-i-vtec-1.5/cjkz400
2018,Honda Civic TC VTEC 1.5,"RM
          79,600",RM 955,"128,353 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",Upgrade Daily Drive,https://www.carsome.my/buy-car/honda/civic/2018-honda-civic-tc-vtec-1.5/cbwz400
2017,Perodua Myvi SE 1.5,"RM
          34,000",RM 454,"127,100 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2017-perodua-myvi-se-1.5/c7wy400
2018,Perodua Myvi AV 1.5,"RM
          43,400",RM 511,"119,647 km",Automatic,"CARSOME Showroom AEON BiG Kepong, Kuala Lumpur 14,735.7 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2018-perodua-myvi-av-1.5/crnl400
2015,Mazda CX-5 SKYACTIV-G GL 2.0,"RM
          42,400",RM 576,"107,988 km",Automatic,"CARSOME Showroom Seremban Oakland, Negeri Sembilan 14,780.1 km
          away",Compact SUV,https://www.carsome.my/buy-car/mazda/cx-5/2015-mazda-cx-5-skyactiv-g-gl-2.0/cibx400
2021,Proton X50 TGDI Flagship 1.5,"RM
          69,400",RM 761,"78,922 km",Automatic,"CARSOME Showroom Cheras, Selangor 14,747.6 km
          away",Compact SUV,https://www.carsome.my/buy-car/proton/x50/2021-proton-x50-tgdi-flagship-1.5/crhw400
2014,Perodua Myvi EZi 1.3,"RM
          25,800",RM 350,"150,035 km",Automatic,"CARSOME Showroom Temerloh, Pahang 14,682.9 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2014-perodua-myvi-ezi-1.3/clux400
2019,Honda Jazz E i-VTEC 1.5,"RM
          60,400",RM 654,"99,506 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",Daily Drive,https://www.carsome.my/buy-car/honda/jazz/2019-honda-jazz-e-i-vtec-1.5/cyez400
2019,Proton X70 TGDI Executive 1.8,"RM
          52,900",RM 557,"87,584 km",Automatic,"CARSOME Showroom Temerloh, Pahang 14,682.9 km
          away",Compact SUV,https://www.carsome.my/buy-car/proton/x70/2019-proton-x70-tgdi-executive-1.8/cxoz400
